#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.280118,28,27.774147
-0.156751,27,27.777799
-0.296017,75,27.78783
-0.114726,8,27.788915
-0.067039,8,27.790032
-0.12609,30,27.794119
-0.063686,10,27.795483
-0.075184,11,27.796982
-0.058792,7,27.797983
-0.106502,25,27.801375
-0.220467,46,27.807515
-0.265039,42,27.813079
-0.117188,11,27.814577
-0.157435,27,27.818254
-0.086394,18,27.820662
-0.11088,23,27.823692
-0.089028,11,27.825182
-0.146746,33,27.829704
-0.113192,14,27.831664
-0.077448,9,27.832878
-0.062504,16,27.835034
-0.097261,13,27.836803
-0.114576,12,27.83842
-0.113691,25,27.841784
-0.110623,13,27.843553
-0.060078,10,27.844909
-0.154566,17,27.8472
-0.11586,9,27.848451
-0.092861,10,27.849827
-0.088049,24,27.853066
-0.103616,11,27.854561
-0.093485,7,27.855561
-0.237749,63,27.863857
-0.156495,25,27.867265
-0.139108,22,27.870216
-0.16146,26,27.873671
-0.124583,11,27.875152
-0.187422,26,27.878733
-0.116454,20,27.881576
-0.130861,23,27.884686
-0.104946,9,27.88594
-0.128772,11,27.887433
-0.105591,16,27.889591
-0.166935,25,27.89297
-0.120331,18,27.895392
-0.085926,8,27.896493
-0.154502,30,27.900681
-0.110692,14,27.902613
-0.105405,10,27.903974
-0.068292,9,27.905228
-0.113958,7,28.284748
-0.128642,10,28.28631
-0.082155,12,28.288087
-0.112859,8,28.289221
-0.073747,8,28.290395
-0.214726,49,28.297191
-0.200179,44,28.303188
-0.083222,16,28.305437
-0.115689,10,28.306827
-0.105158,8,28.307945
-0.078736,9,28.309195
-0.145169,20,28.311914
-0.047515,7,28.312889
-0.202912,17,28.31536
-0.079154,16,28.317676
-0.134854,22,28.320697
-0.153162,26,28.324245
-0.097922,13,28.326076
-0.191454,35,28.330907
-0.108978,16,28.33331
-0.074181,8,28.334456
-0.070586,9,28.335718
-0.219594,38,28.340902
-0.179799,23,28.344041
-0.093875,6,28.344876
-0.114943,17,28.347194
-0.080081,14,28.349345
-0.078088,10,28.350777
-0.12022,24,28.354117
-0.125227,23,28.35731
-0.112304,11,28.358829
-0.111948,29,28.36295
-0.11774,12,28.364593
-0.154908,27,28.368469
-0.203153,39,28.373799
-0.111591,8,28.374988
-0.164593,27,28.378755
-0.079343,10,28.380144
-0.095788,13,28.382099
-0.084604,7,28.383074
-0.080661,14,28.384982
-0.133461,22,28.387939
-0.098847,26,28.39145
-0.113943,9,28.392696
-0.085215,9,28.393933
-0.105663,16,28.396106
-0.23003,46,28.402301
-0.110619,19,28.404854
-0.090122,12,28.406498
-0.098653,8,28.407597
-0.14809,58,28.415401
-0.18183,39,28.420719
-0.055423,6,28.421549
-0.057205,9,28.422782
-0.071381,11,28.424291
-0.144439,21,28.427134
-0.084844,19,28.42976
-0.12374,14,28.431717
-0.081834,16,28.433862
-0.161841,31,28.437965
-0.102977,15,28.440003
-0.107407,11,28.441516
-0.119732,9,28.442752
-0.096495,14,28.444633
-0.096777,20,28.447312
-0.051918,11,28.448961
-0.176326,21,28.45182
-0.130557,21,28.454635
-0.243112,24,28.457866
-0.120061,25,28.461206
-0.147583,18,28.463631
-0.144196,35,28.46833
-0.199503,16,28.470467
-0.120931,18,28.472879
-0.091035,11,28.474402
-0.105015,7,28.475371
-0.152075,15,28.477426
-0.104663,14,28.479393
-0.105526,6,28.480221
-0.071121,8,28.481345
-0.07018,15,28.483442
-0.15697,23,28.486558
-0.10622,8,28.487647
-0.298691,85,28.499142
-0.092357,15,28.501176
-0.281281,32,28.505455
-0.260991,61,28.513524
-0.085926,10,28.514904
-0.058401,9,28.516165
-0.099834,10,28.517529
-0.20587,25,28.520847
-0.114218,21,28.523625
-0.154133,12,28.525244
-0.09114,14,28.527142
-0.097007,16,28.529356
-0.261441,22,28.532397
-0.102007,20,28.535089
-0.104611,15,28.537132
-0.12866,11,28.538609
-0.181724,28,28.542358
-0.098299,34,28.546876
-0.136508,26,28.550411
-0.30501,45,28.556641
-0.071582,13,28.558416
-0.133187,12,28.560038
-0.205542,36,28.564918
-0.123796,18,28.874968
-0.230112,30,28.879264
-0.11736,15,28.88137
-0.083838,13,28.883368
-0.193074,35,28.888671
-0.09482,10,28.890054
-0.238317,34,28.894624
-0.141838,24,28.897854
-0.071467,9,28.899114
-0.133702,26,28.902574
-0.146454,30,28.906615
-0.140088,25,28.909927
-0.074758,15,28.911923
-0.076635,19,28.914438
-0.117015,47,28.920954
-0.10902,18,28.923409
-0.098177,10,28.92481
-0.142498,20,28.927533
-0.257156,24,28.930845
-0.079727,15,28.933079
-0.170952,19,28.935719
-0.057538,6,28.936578
-0.291673,44,28.942502
-0.200844,56,28.950054
-0.225868,32,28.954279
-0.078173,12,28.95592
-0.219744,27,28.959491
-0.166978,34,28.963949
-0.142779,32,28.968256
-0.145228,31,28.972345
-0.097649,13,28.97408
-0.527141,89,28.986638
-0.082907,9,28.987878
-0.090244,8,28.98897
-0.192593,33,28.993417
-0.090429,6,28.994237
-0.131099,28,28.997983
-0.080767,8,28.999098
-0.168577,52,29.006073
-0.186296,16,29.008237
-0.129169,12,29.009844
-0.112466,10,29.011186
-0.17225,33,29.015638
-0.159071,15,29.017679
-0.104021,9,29.0189
-0.119583,29,29.022747
-0.07554,9,29.023952
-0.133523,24,29.027222
-0.075125,16,29.029439
-0.064181,11,29.031002
-0.120691,10,29.032403
-0.068802,8,29.033514
-0.102426,12,29.035168
-0.055597,12,29.036824
-0.147018,11,29.038313
-0.091852,16,29.040487
-0.169003,28,29.044466
-0.143382,14,29.046346
-0.073461,14,29.048285
-0.063794,10,29.049675
-0.284633,34,29.054498
-0.093467,17,29.056836
-0.346894,48,29.063158
-0.080085,9,29.064391
-0.127496,14,29.066375
-0.138858,30,29.070369
-0.106101,10,29.071707
-0.128929,8,29.072795
-0.110664,15,29.074794
-0.195789,24,29.078034
-0.14128,20,29.08085
-0.077974,15,29.0829
-0.22635,49,29.089467
-0.132492,10,29.090829
-0.096155,7,29.091787
-0.103144,23,29.094869
-0.140298,10,29.096217
-0.194644,34,29.100881
-0.106527,14,29.102782
-0.284165,57,29.11034
-0.119627,21,29.113144
-0.168025,38,29.118292
-0.163814,40,29.123565
-0.092992,8,29.124658
-0.12193,21,29.127505
-0.270148,42,29.133153
-0.089482,10,29.134497
-0.148678,12,29.136136
-0.118138,17,29.1384
-0.177712,19,29.140947
-0.123418,11,29.142448
-0.128595,15,29.144467
-0.117597,12,29.146079
-0.117483,10,29.147453
-0.124286,29,29.151539
-0.111805,10,29.468032
-0.159523,26,29.471667
-0.112438,12,29.473338
-0.069019,7,29.474323
-0.119431,10,29.475706
-0.085357,10,29.477112
-0.085932,11,29.478656
-0.101961,22,29.481827
-0.077419,10,29.483236
-0.083084,10,29.484654
-0.19412,14,29.486562
-0.139777,31,29.490709
-0.158392,16,29.492888
-0.0445,7,29.493844
-0.090839,7,29.494812
-0.203018,32,29.499128
-0.123651,28,29.502893
-0.17118,20,29.505601
-0.21063,17,29.507886
-0.103855,6,29.508706
-0.106167,8,29.509786
-0.139898,23,29.512851
-0.100467,9,29.514063
-0.069548,14,29.516021
-0.240645,52,29.52295
-0.071851,13,29.524724
-0.058578,7,29.525675
-0.224458,44,29.531768
-0.127643,14,29.533767
-0.075265,10,29.535166
-0.266966,37,29.540173
-0.123003,8,29.541286
-0.078484,10,29.5427
-0.096514,16,29.544868
-0.302726,42,29.550629
-0.27066,80,29.561411
-0.096786,25,29.564774
-0.072266,10,29.566159
-0.124566,30,29.570183
-0.126637,9,29.571396
-0.127565,20,29.574068
-0.414062,67,29.58322
-0.058707,20,29.585968
-0.145528,46,29.592071
-0.146117,16,29.594201
-0.121826,18,29.596627
-0.31832,50,29.603515
-0.125778,14,29.605451
-0.122916,14,29.607417
-0.275825,60,29.61538
-0.095683,10,29.616762
-0.148412,22,29.619708
-0.256342,59,29.627532
-0.110675,15,29.629626
-0.304164,55,29.63701
-0.166169,34,29.641548
-0.087463,23,29.644619
-0.152867,25,29.648036
-0.122801,25,29.651442
-0.129681,8,29.652555
-0.107086,10,29.653932
-0.082382,9,29.655157
-0.069596,15,29.657173
-0.240891,31,29.661272
-0.114672,9,29.662503
-0.090567,6,29.663322
-0.076861,14,29.66525
-0.109032,11,29.666757
-0.292791,25,29.670123
-0.069227,11,29.671595
-0.166537,21,29.674412
-0.124818,18,29.676853
-0.153218,19,29.679443
-0.112178,9,29.680679
-0.139555,32,29.685117
-0.106811,27,29.688809
-0.109242,7,29.689768
-0.175995,21,29.692595
-0.095601,11,29.694068
-0.083322,15,29.696095
-0.106379,7,29.697055
-0.090856,7,29.698123
-0.346662,53,29.70528
-0.163425,19,29.707806
-0.09352,11,29.709282
-0.241088,53,29.716349
-0.094825,23,29.719416
-0.124744,24,29.722608
-0.106462,12,29.72422
-0.095846,21,29.727076
-0.092188,11,29.7286
-0.109886,16,29.730769
-0.150669,19,29.733365
-0.091556,8,29.734472
-0.068992,9,29.7357
-0.135406,23,29.73876
-0.166881,18,29.741187
-0.055896,10,29.742563
-0.066057,14,29.744442
-0.105377,20,30.052271
-0.099452,14,30.054258
-0.099583,15,30.056347
-0.107157,15,30.058391
-0.111305,11,30.059894
-0.136101,16,30.062088
-0.099672,8,30.063179
-0.072958,11,30.064748
-0.118273,10,30.066231
-0.077347,9,30.067486
-0.136245,24,30.070749
-0.063969,7,30.071711
-0.229799,35,30.076427
-0.096583,27,30.080163
-0.070504,14,30.082271
-0.157915,21,30.085187
-0.097548,9,30.086428
-0.113797,15,30.088465
-0.138368,26,30.092017
-0.088264,23,30.095109
-0.064432,11,30.096621
-0.127276,12,30.098336
-0.1559,22,30.101337
-0.164343,23,30.104438
-0.213653,73,30.114123
-0.309569,37,30.11913
-0.166667,33,30.12354
-0.160086,17,30.125855
-0.120581,17,30.128164
-0.122546,17,30.130497
-0.106582,25,30.133939
-0.072407,16,30.136122
-0.051838,11,30.137615
-0.125731,9,30.138835
-0.10047,8,30.139925
-0.07998,12,30.141584
-0.104122,10,30.142955
-0.112137,9,30.144168
-0.080058,20,30.146873
-0.075353,19,30.149525
-0.137292,29,30.153393
-0.118834,8,30.154491
-0.069724,14,30.156392
-0.128421,28,30.160125
-0.045701,8,30.161204
-0.212442,24,30.164396
-0.07688,9,30.165678
-0.092001,10,30.167045
-0.117717,13,30.168822
-0.103021,29,30.172684
-0.111002,12,30.174307
-0.091074,7,30.175262
-0.1033,8,30.176418
-0.082199,14,30.178339
-0.172385,38,30.18362
-0.084064,8,30.184731
-0.086223,17,30.187022
-0.103554,23,30.190108
-0.170124,14,30.192015
-0.136336,17,30.194307
-0.068093,13,30.196087
-0.078927,12,30.197742
-0.108242,13,30.19981
-0.066333,10,30.201239
-0.057897,9,30.202517
-0.193972,48,30.209143
-0.222757,33,30.21375
-0.168,25,30.217201
-0.052525,7,30.218185
-0.198769,25,30.221575
-0.082682,8,30.222722
-0.172247,23,30.225913
-0.120011,12,30.227626
-0.084736,13,30.229516
-0.070916,19,30.232325
-0.087965,16,30.234557
-0.353398,79,30.245506
-0.180596,16,30.247758
-0.222226,24,30.251304
-0.196222,66,30.26053
-0.140045,24,30.263884
-0.060891,11,30.265583
-0.128923,25,30.269106
-0.083521,13,30.270948
-0.093042,10,30.272348
-0.208232,24,30.27566
-0.097118,9,30.276924
-0.201848,23,30.280173
-0.094457,9,30.281493
-0.102909,12,30.283175
-0.19229,14,30.285077
-0.150919,34,30.289656
-0.07711,12,30.291303
-0.251402,30,30.295352
-0.077644,15,30.29741
-0.282316,28,30.301248
-0.104641,19,30.303798
-0.080876,15,30.30585
-0.198757,26,30.309379
-0.125271,22,30.312325
-0.090713,14,30.3142
-0.206912,54,30.321638
-0.133488,14,30.323599
-0.122006,15,30.325672
-0.087132,10,30.32706
-0.112161,23,30.330223
-0.147305,25,30.638692
-0.296897,32,30.64311
-0.086699,10,30.644499
-0.043923,6,30.645329
-0.127565,11,30.646852
-0.114877,21,30.649882
-0.050421,8,30.651017
-0.131179,11,30.652546
-0.12836,23,30.655656
-0.134787,14,30.657549
-0.159103,32,30.661828
-0.08252,14,30.663698
-0.15705,30,30.667947
-0.119024,20,30.670688
-0.121684,11,30.672198
-0.073491,8,30.673302
-0.100192,10,30.674663
-0.127154,18,30.677104
-0.09431,10,30.678498
-0.107399,8,30.679649
-0.121776,8,30.680765
-0.124101,19,30.683532
-0.105169,18,30.686019
-0.380547,45,30.692293
-0.086616,8,30.693396
-0.239186,29,30.697304
-0.111581,21,30.700278
-0.149154,26,30.703802
-0.09804,12,30.705451
-0.158555,15,30.70749
-0.176158,19,30.710041
-0.065719,13,30.711805
-0.098861,8,30.712895
-0.189477,31,30.717124
-0.0862,8,30.718237
-0.138072,18,30.720653
-0.132091,10,30.72203
-0.18396,31,30.726167
-0.082574,17,30.728515
-0.236483,48,30.735086
-0.092961,20,30.737788
-0.133729,18,30.740242
-0.212292,56,30.747685
-0.096378,10,30.749126
-0.079621,14,30.751052
-0.185216,25,30.754393
-0.091538,8,30.755488
-0.283301,36,30.760253
-0.109534,30,30.764235
-0.10954,32,30.768616
-0.099911,21,30.771435
-0.142292,15,30.773468
-0.109852,12,30.775095
-0.109821,12,30.776731
-0.108418,29,30.780711
-0.15474,26,30.784236
-0.109835,9,30.785469
-0.226012,19,30.788008
-0.127685,21,30.790817
-0.11248,11,30.79232
-0.131022,11,30.793788
-0.110051,16,30.795933
-0.048138,9,30.797151
-0.16264,24,30.800414
-0.067864,15,30.802429
-0.116812,15,30.804429
-0.136169,28,30.808175
-0.203337,23,30.811248
-0.062459,13,30.813015
-0.074522,17,30.815329
-0.149034,22,30.818353
-0.155263,14,30.820241
-0.090012,19,30.822791
-0.125223,46,30.829016
-0.155767,16,30.831191
-0.116357,16,30.833365
-0.095493,11,30.834866
-0.056007,8,30.835956
-0.060048,7,30.836911
-0.106438,16,30.839049
-0.091288,16,30.841239
-0.241149,18,30.843654
-0.083902,14,30.84554
-0.405628,48,30.85202
-0.130459,17,30.854317
-0.072203,8,30.855472
-0.094673,9,30.856708
-0.113576,10,30.85807
-0.101523,10,30.859431
-0.071687,12,30.861038
-0.083526,8,30.862131
-0.053447,6,30.862952
-0.057397,9,30.86416
-0.179364,34,30.876833
-0.192473,51,30.883954
-0.069191,14,30.885946
-0.103534,9,30.887281
-0.113971,13,30.88908
-0.150813,15,30.891167
-0.260456,29,30.895109
-0.214716,45,30.901399
-0.154475,14,30.903297
-0.100674,12,30.904938
-0.11338,11,30.906431
-0.10001,10,30.907791
-0.107361,16,30.90992
-0.080132,12,30.911538
-0.101709,18,30.914028
-0.075019,13,30.915926
-0.109365,13,30.917729
-0.144736,11,30.919236
-0.080534,14,30.92113
-0.132842,13,30.922908
-0.121645,23,31.237836
-0.062902,8,31.239194
-0.061115,7,31.240225
-0.08846,7,31.241226
-0.211418,24,31.244808
-0.070789,13,31.246658
-0.060155,8,31.247771
-0.124988,10,31.249473
-0.069263,14,31.251456
-0.176245,19,31.254226
-0.084688,19,31.256911
-0.113274,8,31.258063
-0.177372,38,31.263321
-0.211192,22,31.266527
-0.145758,14,31.268575
-0.080557,21,31.271513
-0.096382,29,31.275597
-0.123122,23,31.278875
-0.106361,18,31.281476
-0.148146,51,31.288849
-0.129994,29,31.292894
-0.10927,8,31.294046
-0.153171,26,31.29761
-0.093608,7,31.298654
-0.130087,8,31.299763
-0.072736,17,31.30209
-0.111263,9,31.303341
-0.114794,21,31.306216
-0.155538,29,31.310141
-0.129494,20,31.312885
-0.08923,7,31.313859
-0.10536,13,31.315748
-0.06653,10,31.317147
-0.12851,44,31.323162
-0.160831,32,31.327486
-0.098636,16,31.329721
-0.21725,40,31.335194
-0.107416,11,31.336744
-0.076609,9,31.337992
-0.105817,10,31.339343
-0.067387,11,31.340859
-0.33752,68,31.350218
-0.100301,8,31.351359
-0.185494,17,31.353699
-0.097965,6,31.354547
-0.072095,12,31.356228
-0.05805,9,31.357476
-0.170053,32,31.36176
-0.080293,14,31.363682
-0.169911,42,31.369585
-0.082991,8,31.370725
-0.059727,12,31.3724
-0.081108,9,31.373645
-0.087727,7,31.374623
-0.060967,7,31.37561
-0.24694,70,31.385243
-0.078878,15,31.387294
-0.1144,38,31.392448
-0.109326,8,31.393539
-0.083493,22,31.396487
-0.071504,8,31.397579
-0.162282,31,31.401791
-0.063192,8,31.402883
-0.121846,24,31.406127
-0.101716,15,31.40815
-0.11096,20,31.410821
-0.190479,46,31.417006
-0.102318,18,31.419425
-0.07969,13,31.421178
-0.137325,12,31.422793
-0.127435,13,31.424567
-0.158162,19,31.427138
-0.090147,21,31.429984
-0.074388,13,31.431799
-0.077945,13,31.433538
-0.124577,20,31.436224
-0.161168,30,31.440214
-0.301049,60,31.448216
-0.106809,9,31.449481
-0.155683,20,31.452174
-0.073792,9,31.453417
-0.102472,15,31.455477
-0.098936,8,31.456578
-0.187517,49,31.463127
-0.120266,19,31.465688
-0.113629,18,31.468188
-0.166154,15,31.470209
-0.22278,50,31.47688
-0.139733,16,31.479093
-0.215177,26,31.482634
-0.064094,7,31.4836
-0.089271,13,31.485374
-0.093766,10,31.486743
-0.117338,12,31.488355
-0.309708,53,31.49552
-0.109283,34,31.500197
-0.13602,17,31.50248
-0.115978,15,31.504483
-0.116012,11,31.506023
-0.274838,46,31.512159
-0.104569,8,31.513245
-0.174907,14,31.515139
-0.148422,21,31.51795
-0.158188,16,31.828546
-0.064899,13,31.83046
-0.097721,23,31.833821
-0.160568,27,31.837532
-0.069877,10,31.838938
-0.058762,23,31.842108
-0.115415,16,31.844284
-0.139886,10,31.845693
-0.068899,6,31.84654
-0.13635,32,31.851024
-0.152889,18,31.853489
-0.354742,50,31.860302
-0.306923,54,31.867565
-0.06377,10,31.868945
-0.248351,40,31.874376
-0.123842,38,31.879583
-0.075274,12,31.881309
-0.052171,8,31.88244
-0.112464,21,31.885312
-0.108952,15,31.887366
-0.080907,10,31.888723
-0.106116,17,31.89106
-0.103592,7,31.892031
-0.150804,16,31.894174
-0.22906,51,31.901266
-0.198498,54,31.908644
-0.150761,37,31.913608
-0.144906,20,31.916545
-0.10245,10,31.917945
-0.141878,12,31.919605
-0.099482,13,31.921378
-0.174965,26,31.924972
-0.17409,21,31.927846
-0.148246,14,31.929804
-0.153526,19,31.932416
-0.092225,21,31.93528
-0.083943,11,31.936801
-0.284619,31,31.941025
-0.099423,12,31.942689
-0.180405,46,31.948907
-0.180337,47,31.955209
-0.146296,22,31.958244
-0.259111,27,31.961816
-0.311664,47,31.968077
-0.108286,13,31.969842
-0.128505,18,31.972264
-0.10757,11,31.973769
-0.071048,7,31.974758
-0.214578,33,31.979256
-0.263021,45,31.985322
-0.046865,6,31.986153
-0.177978,21,31.988951
-0.148852,18,31.991385
-0.067206,15,31.993859
-0.107784,15,31.996403
-0.128065,33,32.003485
-0.082856,11,32.005649
-0.139451,23,32.013442
-0.128768,12,32.019366
-0.077107,10,32.022119
-0.090394,15,32.029545
-0.258804,47,32.044991
-0.12766,8,32.04711
-0.261626,55,32.065028
-0.096777,12,32.068773
-0.092045,15,32.073091
-0.155017,48,32.08037
-0.185702,32,32.085002
-0.066909,19,32.087603
-0.099573,7,32.088561
-0.117828,9,32.089807
-0.110852,18,32.092254
-0.150874,32,32.096546
-0.244904,30,32.100909
-0.253213,35,32.105606
-0.107705,10,32.106963
-0.146993,17,32.109264
-0.205872,45,32.115338
-0.117577,15,32.117402
-0.145901,14,32.119309
-0.11239,16,32.121452
-0.068016,9,32.122688
-0.079352,6,32.123536
-0.211128,29,32.127416
-0.102919,42,32.13326
-0.082413,6,32.13413
-0.363518,41,32.1397
-0.106112,10,32.14113
-0.095066,7,32.142118
-0.101677,16,32.144289
-0.088997,7,32.145258
-0.106287,10,32.14665
-0.109034,28,32.150553
-0.278188,36,32.477016
-0.11964,22,32.480184
-0.098103,10,32.48177
-0.108002,38,32.487037
-0.059919,14,32.488965
-0.106987,17,32.491345
-0.11647,9,32.492607
-0.054919,16,32.494782
-0.084435,17,32.497078
-0.137425,11,32.498832
-0.121581,7,32.499904
-0.104294,8,32.501036
-0.112721,22,32.504034
-0.229622,23,32.507219
-0.134512,17,32.509667
-0.099713,9,32.510924
-0.109357,11,32.51244
-0.341247,33,32.516983
-0.155605,33,32.521424
-0.086597,10,32.522799
-0.150366,26,32.526344
-0.252072,45,32.532484
-0.150613,41,32.537959
-0.094082,15,32.539997
-0.203889,49,32.546582
-0.086126,6,32.547448
-0.078636,10,32.548854
-0.104002,42,32.554835
-0.104171,14,32.556845
-0.1883,26,32.560391
-0.098076,7,32.561359
-0.074495,24,32.564688
-0.211032,42,32.570613
-0.114058,13,32.572402
-0.169034,36,32.577272
-0.164551,28,32.581098
-0.170874,24,32.584469
-0.102426,8,32.585598
-0.136533,25,32.588954
-0.094652,8,32.590063
-0.091187,11,32.591581
-0.096407,14,32.593496
-0.085203,12,32.59513
-0.155892,43,32.601198
-0.256935,23,32.604373
-0.165431,35,32.609053
-0.111764,13,32.610803
-0.206133,31,32.614954
-0.07395,11,32.616451
-0.117794,9,32.617666
-0.095426,10,32.619019
-0.183034,17,32.621282
-0.094733,25,32.624632
-0.135184,12,32.626298
-0.079127,11,32.627809
-0.204207,44,32.63397
-0.11725,27,32.637655
-0.238786,51,32.644615
-0.293914,49,32.651242
-0.126754,13,32.653011
-0.09746,6,32.653832
-0.143842,10,32.655215
-0.152186,30,32.659299
-0.065772,7,32.660271
-0.100354,11,32.661845
-0.146013,15,32.663905
-0.147524,11,32.665405
-0.09468,12,32.667051
-0.064831,8,32.668163
-0.116508,29,32.672035
-0.196128,16,32.67424
-0.133275,20,32.676952
-0.117425,17,32.679303
-0.081884,19,32.682023
-0.185657,20,32.684727
-0.119772,40,32.690387
-0.11871,11,32.691952
-0.107189,34,32.69673
-0.074532,11,32.698339
-0.105441,34,32.702874
-0.153087,39,32.708077
-0.157283,23,32.711142
-0.135938,14,32.713019
-0.42952,76,32.723304
-0.118369,14,32.725258
-0.144911,35,32.730017
-0.131836,12,32.731703
-0.102903,7,32.732657
-0.197188,19,32.735222
-0.064496,12,32.736867
-0.140766,22,32.7398
-0.105862,7,32.740799
-0.082014,27,32.744438
-0.069978,13,32.746188
-0.168147,24,32.749661
-0.101173,21,32.752524
-0.251183,42,33.069416
-0.10683,25,33.072901
-0.092053,7,33.073875
-0.093397,8,33.075039
-0.081655,19,33.077688
-0.147947,12,33.079415
-0.094214,11,33.081057
-0.194357,17,33.083499
-0.205007,19,33.086108
-0.075132,11,33.087639
-0.161325,22,33.090648
-0.105331,15,33.092754
-0.102502,16,33.094933
-0.08223,5,33.09563
-0.127279,18,33.098158
-0.171001,44,33.104056
-0.074737,12,33.105722
-0.202807,24,33.10896
-0.105321,20,33.111655
-0.185132,37,33.116621
-0.071015,9,33.117859
-0.23877,30,33.121849
-0.21486,26,33.125349
-0.108829,21,33.128229
-0.117419,15,33.130303
-0.10903,8,33.13145
-0.251398,28,33.135269
-0.239249,46,33.141525
-0.18966,14,33.143427
-0.074349,10,33.14479
-0.070232,6,33.145645
-0.065453,9,33.146891
-0.121105,11,33.148764
-0.124989,23,33.151994
-0.107588,10,33.153361
-0.056412,11,33.154888
-0.201044,17,33.157226
-0.099261,14,33.159157
-0.165721,20,33.161827
-0.115119,15,33.163868
-0.047393,9,33.165157
-0.217611,69,33.174377
-0.103463,5,33.175106
-0.089604,5,33.175794
-0.115139,16,33.177971
-0.073942,8,33.17911
-0.130727,37,33.184229
-0.080828,17,33.186534
-0.120098,11,33.188033
-0.088101,14,33.189942
-0.091857,14,33.19182
-0.136877,18,33.194224
-0.050185,8,33.195314
-0.139111,30,33.199377
-0.224435,39,33.204532
-0.12364,9,33.205794
-0.101202,12,33.20745
-0.169471,39,33.212832
-0.106481,9,33.214063
-0.114196,18,33.216683
-0.151581,26,33.220196
-0.210395,76,33.230646
-0.131438,20,33.233549
-0.108757,9,33.234807
-0.19711,41,33.240259
-0.061256,10,33.241626
-0.101443,13,33.243381
-0.083312,17,33.245685
-0.157103,39,33.251106
-0.057642,6,33.251988
-0.061778,9,33.253244
-0.149946,21,33.256149
-0.080798,11,33.257686
-0.134345,11,33.259227
-0.142082,14,33.261178
-0.1564,29,33.265267
-0.089358,13,33.267101
-0.100556,17,33.269456
-0.166566,22,33.272473
-0.08611,11,33.274013
-0.09087,16,33.276217
-0.085521,18,33.27882
-0.09972,22,33.282071
-0.189574,29,33.286194
-0.168779,20,33.288996
-0.130241,10,33.290431
-0.104147,23,33.293638
-0.0655,6,33.294515
-0.129456,14,33.296524
-0.100558,9,33.297831
-0.19944,33,33.302414
-0.089869,16,33.304663
-0.113275,14,33.306602
-0.156457,25,33.309901
-0.298334,65,33.318688
-0.241523,42,33.324353
-0.132662,12,33.325991
-0.165384,25,33.329448
-0.134191,18,33.331969
-0.073732,19,33.334612
-0.176185,25,33.337951
-0.104463,9,33.339187
-0.138329,17,33.341484
-0.295115,48,33.347897
-0.222555,33,33.663918
-0.090682,12,33.665785
-0.115866,9,33.667102
-0.092827,9,33.668393
-0.214688,24,33.671619
-0.097399,25,33.675159
-0.161396,33,33.679716
-0.107639,12,33.681458
-0.146886,16,33.683652
-0.126562,12,33.685319
-0.085388,16,33.6875
-0.122392,11,33.689017
-0.111164,12,33.690659
-0.082293,12,33.692331
-0.066099,8,33.693419
-0.15713,40,33.699145
-0.3182,76,33.709527
-0.125554,13,33.711294
-0.057373,10,33.712664
-0.053335,9,33.713886
-0.074916,20,33.716728
-0.137014,15,33.718787
-0.100894,6,33.719633
-0.11735,15,33.721656
-0.080441,10,33.723041
-0.120452,11,33.724551
-0.153561,18,33.726979
-0.05658,6,33.727834
-0.114128,21,33.730713
-0.124335,13,33.732639
-0.212879,46,33.738815
-0.126045,14,33.740755
-0.069766,19,33.743326
-0.154063,11,33.744854
-0.103378,11,33.74634
-0.130064,16,33.748592
-0.102243,13,33.750341
-0.216083,32,33.754561
-0.170302,19,33.757125
-0.148791,26,33.760592
-0.157737,10,33.761978
-0.064963,10,33.763323
-0.147417,19,33.766005
-0.129459,12,33.767647
-0.120918,27,33.77125
-0.115612,12,33.772902
-0.072256,7,33.773878
-0.128757,14,33.775801
-0.183392,31,33.78003
-0.209273,27,33.783688
-0.072164,12,33.785386
-0.077539,13,33.787153
-0.08118,11,33.788642
-0.069104,12,33.790296
-0.128394,7,33.791286
-0.105304,8,33.792411
-0.096817,14,33.794274
-0.118227,11,33.795785
-0.110796,28,33.799689
-0.082317,11,33.801204
-0.122172,13,33.803006
-0.148285,27,33.806685
-0.064127,14,33.80862
-0.363156,38,33.813719
-0.088272,20,33.816515
-0.449275,44,33.822407
-0.254882,24,33.825639
-0.07008,17,33.827958
-0.195643,18,33.830457
-0.275335,30,33.83461
-0.138921,25,33.837987
-0.220836,31,33.842207
-0.283922,68,33.851266
-0.129906,26,33.854738
-0.15887,23,33.857825
-0.086314,8,33.858943
-0.078863,12,33.860569
-0.124678,16,33.862737
-0.461319,122,33.879034
-0.199309,26,33.882598
-0.073911,14,33.884501
-0.074874,15,33.886519
-0.195344,26,33.890046
-0.146043,15,33.892136
-0.136961,22,33.895147
-0.195569,22,33.898359
-0.170728,31,33.902571
-0.139547,16,33.904727
-0.163827,15,33.906769
-0.075378,6,33.907617
-0.087264,11,33.909105
-0.127685,15,33.911105
-0.12969,22,33.914045
-0.127822,17,33.91642
-0.132626,12,33.918048
-0.072661,11,33.919537
-0.289726,32,33.923843
-0.08298,11,33.925385
-0.167027,40,33.930808
-0.13581,19,33.933416
-0.103516,12,33.935062
-0.151833,31,33.939195
-0.067492,10,33.94059
-0.245882,67,34.261078
-0.089447,20,34.26391
-0.126657,8,34.265188
-0.145552,14,34.267276
-0.381432,56,34.275177
-0.067558,7,34.27621
