step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
80,0.4,0.166496,0.15,0.4,-0.286921,0.041496,0.048069,1
81,0.4,0.161326,0.15,0.4,-0.285226,0.036326,0.041589,1
82,0.4,0.182456,0.15,0.4,-0.29249,0.057456,0.03674,1
83,0.4,0.186927,0.15,0.4,-0.294142,0.061927,0.033015,1
84,0.4,0.190802,0.15,0.4,-0.295605,0.065802,0.043658,1
85,0.4,0.184808,0.15,0.4,-0.293354,0.059808,0.045787,1
86,0.4,0.176627,0.15,0.4,-0.290397,0.051627,0.051933,1
87,0.4,0.172499,0.15,0.4,-0.288956,0.047499,0.038904,1
88,0.4,0.163026,0.15,0.4,-0.285777,0.038026,0.045068,1
89,0.4,0.179251,0.15,0.4,-0.291331,0.054251,0.048641,1
90,0.4,0.177027,0.15,0.4,-0.290538,0.052027,0.052043,1
91,0.4,0.186867,0.15,0.4,-0.294119,0.061867,0.053419,1
92,0.4,0.180019,0.15,0.4,-0.291607,0.055019,0.063115,1
93,0.4,0.181943,0.15,0.4,-0.292303,0.056943,0.073226,1
94,0.4,0.181326,0.15,0.4,-0.292079,0.056326,0.051691,1
95,0.4,0.168483,0.15,0.4,-0.287587,0.043483,0.067524,1
96,0.4,0.184228,0.15,0.4,-0.29314,0.059228,0.058719,1
97,0.4,0.178394,0.15,0.4,-0.291024,0.053394,0.069846,1
98,0.4,0.168519,0.15,0.4,-0.287599,0.043519,0.05296,1
99,0.4,0.17561,0.15,0.4,-0.290039,0.05061,0.04783,1
100,0.4,0.175386,0.15,0.4,-0.28996,0.050386,0.047064,0
101,0.4,0.162971,0.15,0.4,-0.28576,0.037971,0.042313,0
102,0.4,0.152304,0.15,0.4,-0.282397,0.027304,0.031827,0
103,0.4,0.127712,0.15,0.4,-0.27551,0.002712,0.018609,0
104,0.4,0.120152,0.15,0.4,-0.273637,-0.004848,-0.001023,0
105,0.4,0.114581,0.15,0.4,-0.272329,-0.010419,-0.003955,0
106,0.399118,0.125034,0.15,0.4,-0.273565,3.4e-05,-0.015637,0
107,0.399862,0.124938,0.15,0.399339,-0.274611,0.000269,-0.014224,0
108,0.4,0.122433,0.15,0.399731,-0.27419,-0.002433,0.001493,0
109,0.4,0.127568,0.15,0.399933,-0.275474,0.002602,0.01427,0
110,0.4,0.125577,0.15,0.399983,-0.27497,0.000585,0.001603,0
111,0.4,0.123617,0.15,0.399996,-0.274481,-0.001381,0.003386,0
112,0.4,0.125445,0.15,0.399999,-0.274936,0.000446,-0.008812,0
113,0.4,0.126036,0.15,0.4,-0.275085,0.001036,-0.003005,0
114,0.4,0.145865,0.15,0.4,-0.280477,0.020865,0.016966,0
115,0.4,0.13278,0.15,0.4,-0.27683,0.00778,0.007305,0
116,0.4,0.118738,0.15,0.4,-0.273299,-0.006262,-0.001524,0
117,0.4,0.123142,0.15,0.4,-0.274364,-0.001858,0.011144,0
118,0.4,0.117866,0.15,0.4,-0.273092,-0.007134,0.000145,0
119,0.4,0.102828,0.15,0.4,-0.269774,-0.022172,-0.00154,0
120,0.4,0.10098,0.15,0.4,-0.269397,-0.02402,-0.006218,0
121,0.4,0.101171,0.15,0.4,-0.269436,-0.023829,-0.004674,0
122,0.392664,0.094258,0.15,0.4,-0.257629,-0.030742,-0.017475,0
123,0.384859,0.117764,0.15,0.394498,-0.251723,-0.004485,-0.023359,0
124,0.4,0.10672,0.15,0.387269,-0.270589,-0.011914,0.004354,0
125,0.4,0.138309,0.15,0.396817,-0.278329,0.014901,-0.009103,0
126,0.4,0.132087,0.15,0.399204,-0.276647,0.007485,-0.002046,0
127,0.4,0.143969,0.15,0.399801,-0.279927,0.019069,-0.011096,0
128,0.4,0.136361,0.15,0.39995,-0.277794,0.011386,0.001115,0
129,0.4,0.136442,0.15,0.399988,-0.277816,0.011448,-0.003092,0
130,0.4,0.131942,0.15,0.399997,-0.276609,0.006943,-0.015604,0
131,0.4,0.127954,0.15,0.399999,-0.275572,0.002955,-0.012026,0
132,0.4,0.128926,0.15,0.4,-0.275822,0.003926,-0.012769,0
133,0.4,0.13152,0.15,0.4,-0.276498,0.00652,0.002466,0
134,0.4,0.130808,0.15,0.4,-0.276311,0.005808,0.004997,0
135,0.4,0.129491,0.15,0.4,-0.275968,0.004491,0.002999,0
136,0.4,0.122371,0.15,0.4,-0.274175,-0.002629,0.004964,0
137,0.4,0.122381,0.15,0.4,-0.274177,-0.002619,0.02391,0
138,0.4,0.135754,0.15,0.4,-0.277629,0.010754,0.018205,0
139,0.4,0.126423,0.15,0.4,-0.275183,0.001423,-0.000201,0
140,0.4,0.135525,0.15,0.4,-0.277567,0.010525,0.002507,0
141,0.4,0.136209,0.15,0.4,-0.277753,0.011209,-0.015942,0
142,0.4,0.140266,0.15,0.4,-0.278874,0.015266,-0.005021,0
143,0.4,0.126803,0.15,0.4,-0.275279,0.001803,-0.007728,0
144,0.4,0.128372,0.15,0.4,-0.275679,0.003372,-0.004112,0
145,0.4,0.125023,0.15,0.4,-0.274831,2.3e-05,-0.003502,0
146,0.4,0.123,0.15,0.4,-0.274329,-0.002,-0.000576,0
147,0.390294,0.135372,0.15,0.4,-0.263737,0.010372,-0.026012,0
148,0.39396,0.126726,0.15,0.39272,-0.266635,0.005366,-0.013842,0
149,0.396882,0.127949,0.15,0.39365,-0.2711,0.006124,-0.012024,0
150,0.4,0.11327,0.15,0.396074,-0.27203,-0.009767,-0.003935,0
151,0.397052,0.131491,0.15,0.399018,-0.272263,0.006982,-0.017699,0
152,0.399999,0.13557,0.15,0.397544,-0.277578,0.011798,-0.013905,0
153,0.396389,0.132461,0.15,0.399385,-0.271572,0.007768,-0.018872,0
154,0.4,0.126331,0.15,0.397138,-0.275159,0.002762,0.001677,0
155,0.4,0.131237,0.15,0.399284,-0.276423,0.006595,0.018329,0
156,0.4,0.138946,0.15,0.399821,-0.278506,0.014036,0.015389,0
157,0.4,0.148754,0.15,0.399955,-0.281328,0.023776,0.013623,0
158,0.4,0.148262,0.15,0.399989,-0.281182,0.023267,0.005208,0
159,0.4,0.141818,0.15,0.399997,-0.279312,0.01682,-0.003849,0
160,0.4,0.14469,0.15,0.399999,-0.280135,0.01969,-0.014093,0
161,0.4,0.145042,0.15,0.4,-0.280237,0.020042,-0.010362,0
162,0.4,0.148399,0.15,0.4,-0.281222,0.023399,0.001291,0
163,0.4,0.155945,0.15,0.4,-0.283519,0.030945,0.008083,0
164,0.4,0.134085,0.15,0.4,-0.277179,0.009085,0.00418,0
165,0.4,0.121983,0.15,0.4,-0.27408,-0.003017,-0.002675,0
166,0.4,0.134978,0.15,0.4,-0.277419,0.009978,0.00477,0
167,0.4,0.126393,0.15,0.4,-0.275175,0.001393,-0.007275,0
168,0.398405,0.126238,0.15,0.4,-0.272844,0.001238,-0.016531,0
169,0.4,0.119899,0.15,0.398804,-0.273576,-0.004503,-0.006798,0
170,0.4,0.130941,0.15,0.399701,-0.276346,0.006091,0.002009,0
171,0.4,0.110896,0.15,0.399925,-0.271498,-0.014067,0.004249,0
172,0.4,0.11572,0.15,0.399981,-0.272591,-0.009271,0.006688,0
173,0.399092,0.131438,0.15,0.399995,-0.27517,0.00644,-0.016619,0
174,0.4,0.124438,0.15,0.399318,-0.274685,-0.000221,-0.004063,0
175,0.4,0.112107,0.15,0.399829,-0.271768,-0.012807,0.012322,0
176,0.4,0.11896,0.15,0.399957,-0.273352,-0.006018,0.015859,0
177,0.4,0.116214,0.15,0.399989,-0.272706,-0.00878,0.017653,0
178,0.4,0.1274,0.15,0.399997,-0.275431,0.002402,0.012921,0
179,0.4,0.128556,0.15,0.399999,-0.275727,0.003556,0.010456,0
180,0.4,0.120583,0.15,0.4,-0.27374,-0.004417,0.004798,0
181,0.4,0.120688,0.15,0.4,-0.273766,-0.004312,0.006713,0
182,0.4,0.12998,0.15,0.4,-0.276095,0.00498,-0.006558,0
183,0.4,0.127486,0.15,0.4,-0.275453,0.002486,0.01088,0
184,0.4,0.120791,0.15,0.4,-0.273791,-0.004209,-0.001695,0
185,0.4,0.123672,0.15,0.4,-0.274495,-0.001328,0.007427,0
186,0.4,0.124162,0.15,0.4,-0.274616,-0.000838,0.017746,0
187,0.4,0.131268,0.15,0.4,-0.276431,0.006268,0.019066,0
188,0.4,0.13382,0.15,0.4,-0.277108,0.00882,0.034716,0
189,0.4,0.129533,0.15,0.4,-0.275979,0.004533,0.000794,0
190,0.4,0.141007,0.15,0.4,-0.279083,0.016007,-0.0041,0
191,0.4,0.137068,0.15,0.4,-0.277988,0.012068,0.010635,0
192,0.4,0.12063,0.15,0.4,-0.273751,-0.00437,-0.006135,0
193,0.4,0.10913,0.15,0.4,-0.271109,-0.01587,-0.011623,0
194,0.4,0.117408,0.15,0.4,-0.272985,-0.007592,-0.001732,0
195,0.399118,0.121896,0.15,0.4,-0.27279,-0.003104,-0.015167,0
196,0.4,0.104016,0.15,0.399338,-0.270019,-0.020654,-0.008556,0
197,0.4,0.106686,0.15,0.399835,-0.270582,-0.018232,-0.00054,0
198,0.4,0.117833,0.15,0.399959,-0.273085,-0.007147,0.001058,0
199,0.4,0.126073,0.15,0.39999,-0.275094,0.001078,0.002927,0
200,0.4,0.129994,0.15,0.399997,-0.276098,0.004995,-0.00529,0
