step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
80,0.4,0.188163,0.06,0.4,-0.294605,0.018163,0.043069,1
81,0.4,0.182993,0.06,0.4,-0.292686,0.012993,0.036589,1
82,0.4,0.204123,0.06,0.4,-0.300866,0.034123,0.03174,1
83,0.4,0.208594,0.06,0.4,-0.302711,0.038594,0.028015,1
84,0.4,0.212468,0.06,0.4,-0.304343,0.042468,0.038658,1
85,0.4,0.206475,0.06,0.4,-0.301832,0.036475,0.040787,1
86,0.4,0.198294,0.06,0.4,-0.298521,0.028294,0.046933,1
87,0.4,0.194166,0.06,0.4,-0.2969,0.024166,0.033904,1
88,0.4,0.184693,0.06,0.4,-0.293311,0.014693,0.040068,1
89,0.4,0.200918,0.06,0.4,-0.299568,0.030918,0.043641,1
90,0.4,0.198693,0.06,0.4,-0.298679,0.028693,0.047043,1
91,0.4,0.208533,0.06,0.4,-0.302686,0.038533,0.048419,1
92,0.4,0.201686,0.06,0.4,-0.299877,0.031686,0.058115,1
93,0.4,0.20361,0.06,0.4,-0.300657,0.03361,0.068226,1
94,0.4,0.202993,0.06,0.4,-0.300406,0.032993,0.046691,1
95,0.4,0.19015,0.06,0.4,-0.295357,0.02015,0.062524,1
96,0.4,0.205894,0.06,0.4,-0.301592,0.035894,0.053719,1
97,0.4,0.20006,0.06,0.4,-0.299224,0.03006,0.064846,1
98,0.4,0.190186,0.06,0.4,-0.295371,0.020186,0.04796,1
99,0.4,0.197277,0.06,0.4,-0.298118,0.027277,0.04283,1
100,0.4,0.197053,0.06,0.4,-0.29803,0.027053,0.042064,1
101,0.4,0.199638,0.06,0.4,-0.299055,0.029638,0.057313,1
102,0.4,0.199471,0.06,0.4,-0.298989,0.029471,0.058827,1
103,0.4,0.182228,0.06,0.4,-0.292407,0.012228,0.052809,1
104,0.4,0.179814,0.06,0.4,-0.291533,0.009814,0.037497,1
105,0.4,0.177845,0.06,0.4,-0.290829,0.007845,0.037157,1
106,0.4,0.190818,0.06,0.4,-0.295612,0.020818,0.02703,1
107,0.4,0.192818,0.06,0.4,-0.296379,0.022818,0.029377,1
108,0.4,0.191351,0.06,0.4,-0.295815,0.021351,0.045653,1
109,0.4,0.197251,0.06,0.4,-0.298108,0.027251,0.058766,1
110,0.4,0.195839,0.06,0.4,-0.297553,0.025839,0.0463,1
111,0.4,0.194297,0.06,0.4,-0.296951,0.024297,0.048205,1
112,0.4,0.19642,0.06,0.4,-0.297781,0.02642,0.036079,1
113,0.4,0.197218,0.06,0.4,-0.298095,0.027218,0.04193,1
