step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
78,0.4,0.109308,0.06,0.4,-0.271148,-0.060692,0.073673,1
79,0.4,0.113558,0.06,0.4,-0.272095,-0.056442,0.079031,1
80,0.4,0.111496,0.06,0.4,-0.271631,-0.058504,0.060569,1
81,0.4,0.106326,0.06,0.4,-0.270505,-0.063674,0.054089,1
82,0.4,0.127456,0.06,0.4,-0.275445,-0.042544,0.04924,1
83,0.4,0.131927,0.06,0.4,-0.276605,-0.038073,0.045515,1
84,0.4,0.135802,0.06,0.4,-0.277642,-0.034198,0.056158,1
85,0.4,0.129808,0.06,0.4,-0.27605,-0.040192,0.058287,1
86,0.4,0.121627,0.06,0.4,-0.273993,-0.048373,0.064433,1
87,0.4,0.117499,0.06,0.4,-0.273006,-0.052501,0.051404,1
88,0.4,0.108026,0.06,0.4,-0.27087,-0.061974,0.057568,1
89,0.4,0.124251,0.06,0.4,-0.274638,-0.045749,0.061141,1
90,0.4,0.122027,0.06,0.4,-0.27409,-0.047973,0.064543,0
91,0.4,0.146867,0.06,0.4,-0.28077,-0.023133,0.040919,0
92,0.4,0.150519,0.06,0.4,-0.281856,-0.019481,0.035615,0
93,0.4,0.159793,0.06,0.4,-0.284734,-0.010207,0.036726,0
94,0.4,0.164321,0.06,0.4,-0.286201,-0.005679,0.009791,0
95,0.4,0.15508,0.06,0.4,-0.28325,-0.01492,0.022384,0
96,0.4,0.173345,0.06,0.4,-0.289249,0.003345,0.011635,0
97,0.4,0.169276,0.06,0.4,-0.287854,-0.000724,0.021596,0
98,0.4,0.160637,0.06,0.4,-0.285004,-0.009363,0.00401,0
99,0.4,0.168592,0.06,0.4,-0.287623,-0.001408,-0.00154,0
100,0.4,0.168974,0.06,0.4,-0.287752,-0.001026,-0.002558,0
101,0.4,0.171982,0.06,0.4,-0.288778,0.001982,0.01254,0
102,0.4,0.172112,0.06,0.4,-0.288823,0.002112,0.013963,0
103,0.4,0.155077,0.06,0.4,-0.283249,-0.014923,0.007891,0
104,0.4,0.152808,0.06,0.4,-0.28255,-0.017192,-0.007454,0
105,0.4,0.150941,0.06,0.4,-0.281983,-0.019059,-0.007813,0
106,0.4,0.163986,0.06,0.4,-0.286091,-0.006014,-0.017952,0
107,0.4,0.166035,0.06,0.4,-0.286768,-0.003965,-0.015613,0
108,0.4,0.164603,0.06,0.4,-0.286294,-0.005397,0.00066,0
109,0.4,0.170527,0.06,0.4,-0.288279,0.000527,0.01377,0
110,0.4,0.169133,0.06,0.4,-0.287806,-0.000867,0.001303,0
111,0.4,0.167602,0.06,0.4,-0.28729,-0.002398,0.003206,0
112,0.4,0.169734,0.06,0.4,-0.28801,-0.000266,-0.00892,0
113,0.4,0.170538,0.06,0.4,-0.288283,0.000538,-0.00307,0
114,0.4,0.190516,0.06,0.4,-0.295496,0.020516,0.016927,0
115,0.4,0.177535,0.06,0.4,-0.290719,0.007535,0.007282,0
116,0.4,0.163567,0.06,0.4,-0.285954,-0.006433,-0.001538,0
117,0.4,0.168022,0.06,0.4,-0.287431,-0.001978,0.011136,0
118,0.4,0.162783,0.06,0.4,-0.285698,-0.007217,0.00014,0
119,0.4,0.14777,0.06,0.4,-0.281036,-0.02223,-0.001543,0
120,0.4,0.145939,0.06,0.4,-0.280498,-0.024061,-0.00622,0
121,0.4,0.146143,0.06,0.4,-0.280558,-0.023857,-0.004675,0
122,0.39941,0.139238,0.06,0.4,-0.277739,-0.030762,-0.017475,0
123,0.396995,0.16528,0.06,0.399558,-0.282208,-0.004499,-0.023359,0
124,0.4,0.156894,0.06,0.397636,-0.283816,-0.011924,0.004354,0
125,0.4,0.184598,0.06,0.399409,-0.293277,0.014894,-0.009104,0
126,0.4,0.177406,0.06,0.399852,-0.290673,0.00748,-0.002047,0
127,0.4,0.189047,0.06,0.399963,-0.294939,0.019065,-0.011097,0
128,0.4,0.181379,0.06,0.399991,-0.292098,0.011384,0.001115,0
129,0.4,0.181445,0.06,0.399998,-0.292122,0.011447,-0.003092,0
130,0.4,0.176942,0.06,0.399999,-0.290508,0.006942,-0.015604,0
131,0.4,0.172954,0.06,0.4,-0.289113,0.002954,-0.012026,0
132,0.4,0.173925,0.06,0.4,-0.28945,0.003925,-0.012769,0
133,0.4,0.17652,0.06,0.4,-0.290359,0.00652,0.002466,0
134,0.4,0.175807,0.06,0.4,-0.290108,0.005807,0.004997,0
135,0.4,0.17449,0.06,0.4,-0.289647,0.00449,0.002999,0
136,0.4,0.167371,0.06,0.4,-0.287213,-0.002629,0.004964,0
137,0.4,0.167381,0.06,0.4,-0.287216,-0.002619,0.02391,0
138,0.4,0.180754,0.06,0.4,-0.291872,0.010754,0.018205,0
139,0.4,0.171423,0.06,0.4,-0.288586,0.001423,-0.000201,0
140,0.4,0.180525,0.06,0.4,-0.291789,0.010525,0.002507,0
141,0.4,0.181209,0.06,0.4,-0.292037,0.011209,-0.015942,0
142,0.4,0.185266,0.06,0.4,-0.293523,0.015266,-0.005021,0
143,0.4,0.171803,0.06,0.4,-0.288716,0.001803,-0.007728,0
144,0.4,0.173372,0.06,0.4,-0.289258,0.003372,-0.004112,0
145,0.4,0.170023,0.06,0.4,-0.288108,2.3e-05,-0.003502,0
146,0.4,0.168,0.06,0.4,-0.287424,-0.002,-0.000576,0
147,0.397044,0.180372,0.06,0.4,-0.287495,0.010372,-0.026012,0
