step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
78,0.4,0.114308,0.15,0.4,-0.272266,-0.010692,0.073673,1
79,0.4,0.118558,0.15,0.4,-0.273256,-0.006442,0.079031,1
80,0.4,0.116496,0.15,0.4,-0.272771,-0.008504,0.060569,0
81,0.4,0.111326,0.15,0.4,-0.271594,-0.013674,0.029089,0
82,0.4,0.132456,0.15,0.4,-0.276745,0.007456,0.00924,0
83,0.4,0.136927,0.15,0.4,-0.277949,0.011927,-0.003485,0
84,0.4,0.140802,0.15,0.4,-0.279025,0.015802,0.001758,0
85,0.4,0.134808,0.15,0.4,-0.277373,0.009808,0.000647,0
86,0.4,0.126627,0.15,0.4,-0.275234,0.001627,0.004849,0
87,0.4,0.122499,0.15,0.4,-0.274206,-0.002501,-0.009347,0
88,0.4,0.113026,0.15,0.4,-0.271975,-0.011974,-0.003882,0
89,0.4,0.129251,0.15,0.4,-0.275906,0.004251,-0.000729,0
90,0.4,0.127027,0.15,0.4,-0.275336,0.002027,0.002421,0
91,0.4,0.136867,0.15,0.4,-0.277932,0.011867,0.003646,0
92,0.4,0.130019,0.15,0.4,-0.276105,0.005019,0.013251,0
93,0.4,0.131943,0.15,0.4,-0.276609,0.006943,0.023308,0
94,0.4,0.131326,0.15,0.4,-0.276447,0.006326,0.00174,0
95,0.4,0.118483,0.15,0.4,-0.273238,-0.006517,0.017553,0
96,0.4,0.134228,0.15,0.4,-0.277217,0.009228,0.008737,0
97,0.4,0.128394,0.15,0.4,-0.275685,0.003394,0.019857,0
98,0.4,0.118519,0.15,0.4,-0.273247,-0.006481,0.002967,0
99,0.4,0.12561,0.15,0.4,-0.274978,0.00061,-0.002166,0
100,0.4,0.125386,0.15,0.4,-0.274922,0.000386,-0.002934,0
101,0.4,0.127971,0.15,0.4,-0.275577,0.002971,0.012314,0
102,0.4,0.127804,0.15,0.4,-0.275534,0.002804,0.013828,0
103,0.4,0.110562,0.15,0.4,-0.271424,-0.014438,0.00781,0
104,0.4,0.108147,0.15,0.4,-0.270896,-0.016853,-0.007502,0
105,0.4,0.106178,0.15,0.4,-0.270474,-0.018822,-0.007843,0
106,0.395903,0.119152,0.15,0.4,-0.267531,-0.005848,-0.01797,0
107,0.395277,0.119615,0.15,0.396927,-0.266751,-0.003849,-0.015623,0
108,0.4,0.117529,0.15,0.39569,-0.273013,-0.005315,0.000654,0
109,0.4,0.125045,0.15,0.398922,-0.274836,0.000584,0.013766,0
110,0.4,0.124038,0.15,0.399731,-0.274585,-0.000827,0.0013,0
111,0.4,0.122596,0.15,0.399933,-0.27423,-0.00237,0.003205,0
112,0.4,0.124745,0.15,0.399983,-0.274761,-0.000246,-0.008921,0
113,0.4,0.125549,0.15,0.399996,-0.274963,0.000551,-0.00307,0
114,0.4,0.145525,0.15,0.399999,-0.280378,0.020526,0.016926,0
115,0.4,0.132542,0.15,0.4,-0.276767,0.007542,0.007282,0
