step,inflation,output_gap,interest_rate,reward,shock_active
0,0.086,0.0,0.15,-0.008281999999999998,False
1,0.0788,-0.00943285846988767,0.15,-0.0030998588189129306,False
2,0.0825,-0.0015289297876219642,0.15,-0.0036148376262954782,False
3,0.0848,0.009853741550909345,0.15,-0.004111176222552117,False
4,0.0833,0.020113291804807726,0.15,-0.004154324507225345,False
5,0.0677,-0.017450900303387182,0.12052454799413681,-0.0022735150568737304,False
6,0.0739,-0.003902089812201557,0.14279896020889282,-0.002561721024658922,False
7,0.0703,0.005470456305312685,0.13848522305488586,-0.0018754100563052652,False
8,0.056299999999999996,-0.015949287664220775,0.09277535229921341,-0.0018304559192462047,False
9,0.0462,-0.03765417399072614,0.05667291209101677,-0.0021464099134170835,False
10,0.0327,-0.05169773875672126,0.015901127830147743,-0.0036104053884656235,False
11,0.042800000000000005,-0.025792367933501627,0.05410382151603699,-0.001410649146046064,False
12,0.0519,-0.007091191882503879,0.0862044021487236,-0.0008487286407922964,False
13,0.0537,0.0003466692096572295,0.0944233313202858,-0.0004092755779045022,False
14,0.0525,-0.021255467078852196,0.08062226325273514,-0.0008595296206427526,False
15,0.0487,-0.041853551988212084,0.0608232282102108,-0.0020991007083375254,False
16,0.0501,-0.0363057168829794,0.06709713488817215,-0.0015418060308889394,False
17,0.054000000000000006,-0.031372884709727746,0.07931356132030487,-0.0014508784323957248,False
18,0.0369,-0.056155834441829464,0.02417208068072796,-0.004692989185420578,False
19,0.0374,-0.053004908308675686,0.02699754573404789,-0.0028270319311948827,False
20,0.0441,-0.04312696366029347,0.048686522990465164,-0.0021287608617709666,False
21,0.05,-0.00804508323901923,0.08097746223211288,-0.0007860757428766405,False
22,0.0541,-0.0004938295960807415,0.09500308334827423,-0.0004962228915170208,False
23,0.056100000000000004,0.004280218370014649,0.1023901104927063,-0.0005640243543112992,False
24,0.056900000000000006,-0.009223307166122845,0.097638338804245,-0.0006675790621702845,False
25,0.0526,-0.021422472978150114,0.0807887613773346,-0.0009183964782322961,False
26,0.0483,-0.02462875248542143,0.06843563169240952,-0.000820655355494441,False
27,0.0547,-0.018412937762560182,0.08754352480173111,-0.0009537720665865445,False
28,0.0576,-0.005173370026591427,0.1014133095741272,-0.0007424692222483296,False
29,0.057699999999999994,-0.009945082920461201,0.09927745908498764,-0.0007277656029508275,False
30,0.060700000000000004,-0.00487300383430171,0.1093134954571724,-0.0009310871794010271,False
31,0.050499999999999996,-0.030315469189735354,0.07109227031469345,-0.0018699586978898255,False
32,0.043899999999999995,-0.01892959350669891,0.06028520688414574,-0.0004471458203247983,False
33,0.042,-0.019078647052738453,0.05546067655086517,-0.0003836328198313378,False
34,0.0363,-0.03724002693174977,0.032129984349012375,-0.0016863602051862456,False
35,0.0341,-0.02596657242436793,0.03226671367883682,-0.0007438922309247622,False
36,0.0317,-0.037781694439204566,0.020359154790639877,-0.0016361314140353603,False
37,0.0365,-0.018536719601316105,0.041981637477874756,-0.0006018758523577028,False
38,0.038900000000000004,-0.029626076919850627,0.04243696108460426,-0.0008802280934543285,False
39,0.029900000000000003,-0.05498272202486481,0.007258637808263302,-0.00384587693553093,False
40,0.0218,-0.058217565261200616,0.0,-0.004078108816357928,False
41,0.0146,-0.05358938640900639,0.0,-0.004162142335693798,False
42,0.0236,-0.023157826315305403,0.007421089336276054,-0.0011017412031183466,False
43,0.032799999999999996,-0.0012827438761267365,0.04135862737894058,-0.0006812036760503918,False
44,0.032799999999999996,-0.004037232056794277,0.039981383830308914,-0.00012092764257653127,False
45,0.0358,-0.01201500554910969,0.04349249601364136,-0.00018580431272710948,False
46,0.048799999999999996,0.009189553476765158,0.08659477531909943,-0.0011682311337651858,False
47,0.0521,0.00934525507181426,0.09492262452840805,-0.00041483032858376126,False
48,0.0507,0.015247426319640569,0.09437371790409088,-0.00046161465861397765,False
49,0.0444,0.0030341239513970684,0.07251705974340439,-0.0002867826611289931,False
50,0.042800000000000005,-0.01840310239250968,0.05779845267534256,-0.00046267287468119533,False
51,0.0458,-0.005481642220059802,0.0717591792345047,-0.00019477934445858973,False
52,0.0487,-0.002436136580211008,0.08053193241357803,-0.0001957953606079128,False
53,0.0492,-0.007718129267228393,0.07914093136787415,-0.00022981696134022215,False
54,0.0417,-0.015057740525374036,0.05672113597393036,-0.000483839162482643,False
55,0.0369,-0.011336197195339718,0.046581897884607315,-0.00019913144136761765,False
56,0.037000000000000005,0.0004438434348902169,0.05272192135453224,-3.704694110030956e-05,False
57,0.0338,-0.014437100484314229,0.037281446158885956,-0.00040451400752787033,False
58,0.0233,-0.03564180414596352,0.0004290966608095914,-0.002507166034543407,False
59,0.021099999999999997,-0.029600809002735186,0.0,-0.0015907199555885675,False
60,0.0197,-0.016725195930964554,0.0008874023915268481,-0.0011043059204313972,False
61,0.025699999999999997,-0.006171899123224547,0.021164048463106155,-0.0006526435267433064,False
62,0.0286,-0.0009941090652178025,0.031002944335341454,-0.0003093101888258926,False
63,0.029900000000000003,-0.00925863699223452,0.03012068010866642,-0.0002901315540368086,False
64,0.0305,-0.01816897583459433,0.02716551348567009,-0.0005149781877629087,False
65,0.0318,-0.003809922443733479,0.03759504482150078,-0.00020338307096980118,False
66,0.0315,0.009914462330721444,0.0437072329223156,-0.00026147598499716565,False
67,0.032799999999999996,0.00981146864877381,0.04690573364496231,-0.00020506012048225727,False
68,0.039900000000000005,0.03208450389793931,0.07579225301742554,-0.0014466508911047293,False
69,0.0462,0.04188396336882777,0.09644198417663574,-0.0020443520859551347,False
