step,inflation,output_gap,interest_rate,reward,shock_active
0,0.086,0.0,0.0,-0.006031999999999999,False
1,0.0788,-0.00943285846988767,0.0,-0.0030998588189129306,False
2,0.0825,-0.0015289297876219642,0.0,-0.0036148376262954782,False
3,0.0848,0.009853741550909345,0.0,-0.004111176222552117,False
4,0.0833,0.020113291804807726,0.0,-0.004154324507225345,False
5,0.0677,-0.017450900303387182,0.0,-0.0018391139213987584,False
6,0.0739,-0.003902089812201557,0.0,-0.002313646304902486,False
7,0.0703,0.005470456305312685,0.0,-0.0018661058921883352,False
8,0.056299999999999996,-0.015949287664220775,0.0,-0.0007857597769960647,False
9,0.0462,-0.03765417399072614,0.0,-0.0014947168189238767,False
10,0.0327,-0.05169773875672126,0.0,-0.0027792361925582,False
11,0.042800000000000005,-0.025792367933501627,0.0,-0.000680926243617123,False
12,0.0519,-0.007091191882503879,0.0,-0.00033350500231448893,False
13,0.0537,0.0003466692096572295,0.0,-0.0003755001795409242,False
14,0.0525,-0.021255467078852196,0.0,-0.0007642948807401694,False
15,0.0487,-0.041853551988212084,0.0,-0.0019030998140299718,False
16,0.0501,-0.0363057168829794,0.0,-0.0015221250783870554,False
17,0.054000000000000006,-0.031372884709727746,0.0,-0.0013762578950098693,False
18,0.0369,-0.056155834441829464,0.0,-0.0031726977418581603,False
19,0.0374,-0.053004908308675686,0.0,-0.0028230403048111166,False
20,0.0441,-0.04312696366029347,0.0,-0.0018935549945562737,False
21,0.05,-0.00804508323901923,0.0,-0.0002647233643227482,False
22,0.0541,-0.0004938295960807415,0.0,-0.0003978638676699653,False
23,0.056100000000000004,0.004280218370014649,0.0,-0.0005367402692950111,False
24,0.056900000000000006,-0.009223307166122845,0.0,-0.0006562893950806533,False
25,0.0526,-0.021422472978150114,0.0,-0.0007764423484995719,False
26,0.0483,-0.02462875248542143,0.0,-0.0007443554489881524,False
27,0.0547,-0.018412937762560182,0.0,-0.0007712162770479147,False
28,0.0576,-0.005173370026591427,0.0,-0.0006462837574320344,False
29,0.057699999999999994,-0.009945082920461201,0.0,-0.0007254846742948487,False
30,0.060700000000000004,-0.00487300383430171,0.0,-0.0008807261663691194,False
31,0.050499999999999996,-0.030315469189735354,0.0,-0.0011395276721937932,False
32,0.043899999999999995,-0.01892959350669891,0.0,-0.00038874951032885743,False
33,0.042,-0.019078647052738453,0.0,-0.0003719947733629657,False
34,0.0363,-0.03724002693174977,0.0,-0.0014141996058774481,False
35,0.0341,-0.02596657242436793,0.0,-0.0007438828834699451,False
36,0.0317,-0.037781694439204566,0.0,-0.0015652364346974213,False
37,0.0365,-0.018536719601316105,0.0,-0.00036810997357781676,False
38,0.038900000000000004,-0.029626076919850627,0.0,-0.0008801244336609059,False
39,0.029900000000000003,-0.05498272202486481,0.0,-0.0032271197212635537,False
40,0.0218,-0.058217565261200616,0.0,-0.004051764904942153,False
41,0.0146,-0.05358938640900639,0.0,-0.004162142335693798,False
42,0.0236,-0.023157826315305403,0.0,-0.0010742049196498515,False
43,0.032799999999999996,-0.0012827438761267365,0.0,-0.0001053254318517408,False
