step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
79,0.4,0.068558,0.15,0.4,-0.2639,-0.056442,0.079031,1
80,0.4,0.066496,0.15,0.4,-0.263622,-0.058504,0.060569,1
81,0.4,0.061326,0.15,0.4,-0.262961,-0.063674,0.054089,1
82,0.4,0.082456,0.15,0.4,-0.265999,-0.042544,0.04924,1
83,0.4,0.086927,0.15,0.4,-0.266756,-0.038073,0.045515,1
84,0.4,0.090802,0.15,0.4,-0.267445,-0.034198,0.056158,1
85,0.4,0.084808,0.15,0.4,-0.266392,-0.040192,0.058287,1
86,0.4,0.076627,0.15,0.4,-0.265072,-0.048373,0.064433,1
87,0.4,0.072499,0.15,0.4,-0.264456,-0.052501,0.051404,1
88,0.4,0.063026,0.15,0.4,-0.263172,-0.061974,0.057568,1
89,0.4,0.079251,0.15,0.4,-0.265481,-0.045749,0.061141,1
90,0.4,0.077027,0.15,0.4,-0.265133,-0.047973,0.064543,0
91,0.4,0.101867,0.15,0.4,-0.269577,-0.023133,0.040919,0
92,0.4,0.105519,0.15,0.4,-0.270334,-0.019481,0.035615,0
93,0.4,0.114793,0.15,0.4,-0.272378,-0.010207,0.036726,0
94,0.4,0.119321,0.15,0.4,-0.273438,-0.005679,0.009791,0
95,0.4,0.11008,0.15,0.4,-0.271318,-0.01492,0.022384,0
96,0.4,0.128345,0.15,0.4,-0.275672,0.003345,0.011635,0
97,0.4,0.124276,0.15,0.4,-0.274645,-0.000724,0.021596,0
98,0.4,0.115637,0.15,0.4,-0.272572,-0.009363,0.00401,0
99,0.4,0.123592,0.15,0.4,-0.274475,-0.001408,-0.00154,0
100,0.4,0.123974,0.15,0.4,-0.274569,-0.001026,-0.002558,0
101,0.4,0.126982,0.15,0.4,-0.275324,0.001982,0.01254,0
102,0.4,0.127112,0.15,0.4,-0.275358,0.002112,0.013963,0
103,0.4,0.110077,0.15,0.4,-0.271317,-0.014923,0.007891,0
104,0.4,0.107808,0.15,0.4,-0.270823,-0.017192,-0.007454,0
105,0.4,0.105941,0.15,0.4,-0.270423,-0.019059,-0.007813,0
106,0.395896,0.118986,0.15,0.4,-0.267481,-0.006014,-0.017952,0
107,0.395264,0.119496,0.15,0.396922,-0.266705,-0.003965,-0.015613,0
108,0.4,0.117442,0.15,0.395679,-0.272993,-0.005397,0.00066,0
109,0.4,0.124987,0.15,0.39892,-0.274822,0.000527,0.01377,0
110,0.4,0.123998,0.15,0.39973,-0.274575,-0.000867,0.001303,0
111,0.4,0.122568,0.15,0.399932,-0.274223,-0.002398,0.003206,0
112,0.4,0.124726,0.15,0.399983,-0.274756,-0.000266,-0.00892,0
113,0.4,0.125536,0.15,0.399996,-0.274959,0.000538,-0.00307,0
114,0.4,0.145516,0.15,0.399999,-0.280375,0.020516,0.016927,0
115,0.4,0.132535,0.15,0.4,-0.276766,0.007535,0.007282,0
116,0.4,0.118567,0.15,0.4,-0.273258,-0.006433,-0.001538,0
117,0.4,0.123022,0.15,0.4,-0.274334,-0.001978,0.011136,0
118,0.4,0.117783,0.15,0.4,-0.273073,-0.007217,0.00014,0
119,0.4,0.10277,0.15,0.4,-0.269762,-0.02223,-0.001543,0
120,0.4,0.100939,0.15,0.4,-0.269389,-0.024061,-0.00622,0
121,0.4,0.101143,0.15,0.4,-0.26943,-0.023857,-0.004675,0
122,0.39266,0.094238,0.15,0.4,-0.25762,-0.030762,-0.017475,0
123,0.384853,0.117748,0.15,0.394495,-0.251712,-0.004499,-0.023359,0
124,0.4,0.106708,0.15,0.387264,-0.270587,-0.011924,0.004354,0
125,0.4,0.138302,0.15,0.396816,-0.278327,0.014894,-0.009104,0
126,0.4,0.132082,0.15,0.399204,-0.276646,0.00748,-0.002047,0
127,0.4,0.143966,0.15,0.399801,-0.279926,0.019065,-0.011097,0
128,0.4,0.136359,0.15,0.39995,-0.277794,0.011384,0.001115,0
129,0.4,0.13644,0.15,0.399988,-0.277816,0.011447,-0.003092,0
130,0.4,0.13194,0.15,0.399997,-0.276608,0.006942,-0.015604,0
131,0.4,0.127954,0.15,0.399999,-0.275572,0.002954,-0.012026,0
132,0.4,0.128925,0.15,0.4,-0.275822,0.003925,-0.012769,0
133,0.4,0.13152,0.15,0.4,-0.276497,0.00652,0.002466,0
134,0.4,0.130807,0.15,0.4,-0.276311,0.005807,0.004997,0
135,0.4,0.12949,0.15,0.4,-0.275968,0.00449,0.002999,0
136,0.4,0.122371,0.15,0.4,-0.274175,-0.002629,0.004964,0
137,0.4,0.122381,0.15,0.4,-0.274177,-0.002619,0.02391,0
138,0.4,0.135754,0.15,0.4,-0.277629,0.010754,0.018205,0
139,0.4,0.126423,0.15,0.4,-0.275183,0.001423,-0.000201,0
140,0.4,0.135525,0.15,0.4,-0.277567,0.010525,0.002507,0
141,0.4,0.136209,0.15,0.4,-0.277753,0.011209,-0.015942,0
142,0.4,0.140266,0.15,0.4,-0.278874,0.015266,-0.005021,0
143,0.4,0.126803,0.15,0.4,-0.275279,0.001803,-0.007728,0
144,0.4,0.128372,0.15,0.4,-0.275679,0.003372,-0.004112,0
145,0.4,0.125023,0.15,0.4,-0.274831,2.3e-05,-0.003502,0
146,0.4,0.123,0.15,0.4,-0.274329,-0.002,-0.000576,0
147,0.390294,0.135372,0.15,0.4,-0.263737,0.010372,-0.026012,0
148,0.39396,0.126726,0.15,0.39272,-0.266635,0.005366,-0.013842,0
149,0.396882,0.127949,0.15,0.39365,-0.2711,0.006124,-0.012024,0
150,0.4,0.11327,0.15,0.396074,-0.27203,-0.009767,-0.003935,0
151,0.397052,0.131491,0.15,0.399018,-0.272263,0.006982,-0.017699,0
152,0.399999,0.13557,0.15,0.397544,-0.277578,0.011798,-0.013905,0
