step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
79,0.4,0.213558,0.06,0.4,-0.304807,0.043558,0.066531,1
80,0.4,0.211496,0.06,0.4,-0.303931,0.041496,0.048069,1
81,0.4,0.206326,0.06,0.4,-0.301771,0.036326,0.041589,1
82,0.4,0.227456,0.06,0.4,-0.310936,0.057456,0.03674,1
83,0.4,0.231927,0.06,0.4,-0.31299,0.061927,0.033015,1
84,0.4,0.235802,0.06,0.4,-0.314802,0.065802,0.043658,1
85,0.4,0.229808,0.06,0.4,-0.312012,0.059808,0.045787,1
86,0.4,0.221627,0.06,0.4,-0.308319,0.051627,0.051933,1
87,0.4,0.217499,0.06,0.4,-0.306506,0.047499,0.038904,1
88,0.4,0.208026,0.06,0.4,-0.302475,0.038026,0.045068,1
89,0.4,0.224251,0.06,0.4,-0.309488,0.054251,0.048641,1
90,0.4,0.222027,0.06,0.4,-0.308496,0.052027,0.052043,1
91,0.4,0.231867,0.06,0.4,-0.312962,0.061867,0.053419,1
92,0.4,0.225019,0.06,0.4,-0.309834,0.055019,0.063115,1
93,0.4,0.226943,0.06,0.4,-0.310703,0.056943,0.073226,1
94,0.4,0.226326,0.06,0.4,-0.310424,0.056326,0.051691,1
95,0.4,0.213483,0.06,0.4,-0.304775,0.043483,0.067524,1
96,0.4,0.229228,0.06,0.4,-0.311745,0.059228,0.058719,1
97,0.4,0.223394,0.06,0.4,-0.309105,0.053394,0.069846,1
98,0.4,0.213519,0.06,0.4,-0.30479,0.043519,0.05296,1
99,0.4,0.22061,0.06,0.4,-0.307869,0.05061,0.04783,1
100,0.4,0.220386,0.06,0.4,-0.30777,0.050386,0.047064,0
101,0.4,0.207971,0.06,0.4,-0.302452,0.037971,0.042313,0
102,0.4,0.197304,0.06,0.4,-0.298129,0.027304,0.031827,0
103,0.4,0.172712,0.06,0.4,-0.289029,0.002712,0.018609,0
104,0.4,0.165152,0.06,0.4,-0.286475,-0.004848,-0.001023,0
105,0.4,0.159581,0.06,0.4,-0.284666,-0.010419,-0.003955,0
106,0.4,0.170034,0.06,0.4,-0.288112,3.4e-05,-0.015637,0
107,0.4,0.170269,0.06,0.4,-0.288192,0.000269,-0.014224,0
108,0.4,0.167567,0.06,0.4,-0.287279,-0.002433,0.001493,0
109,0.4,0.172602,0.06,0.4,-0.288991,0.002602,0.01427,0
110,0.4,0.170585,0.06,0.4,-0.288299,0.000585,0.001603,0
111,0.4,0.168619,0.06,0.4,-0.287632,-0.001381,0.003386,0
112,0.4,0.170446,0.06,0.4,-0.288252,0.000446,-0.008812,0
113,0.4,0.171036,0.06,0.4,-0.288453,0.001036,-0.003005,0
114,0.4,0.190865,0.06,0.4,-0.295629,0.020865,0.016966,0
115,0.4,0.17778,0.06,0.4,-0.290806,0.00778,0.007305,0
116,0.4,0.163738,0.06,0.4,-0.28601,-0.006262,-0.001524,0
117,0.4,0.168142,0.06,0.4,-0.287472,-0.001858,0.011144,0
118,0.4,0.162866,0.06,0.4,-0.285725,-0.007134,0.000145,0
119,0.4,0.147828,0.06,0.4,-0.281053,-0.022172,-0.00154,0
120,0.4,0.14598,0.06,0.4,-0.28051,-0.02402,-0.006218,0
121,0.4,0.146171,0.06,0.4,-0.280566,-0.023829,-0.004674,0
122,0.399414,0.139258,0.06,0.4,-0.27775,-0.030742,-0.017475,0
123,0.397,0.165295,0.06,0.399561,-0.282221,-0.004485,-0.023359,0
124,0.4,0.156906,0.06,0.39764,-0.28382,-0.011914,0.004354,0
125,0.4,0.184606,0.06,0.39941,-0.293279,0.014901,-0.009103,0
126,0.4,0.177411,0.06,0.399853,-0.290675,0.007485,-0.002046,0
127,0.4,0.18905,0.06,0.399963,-0.29494,0.019069,-0.011096,0
128,0.4,0.181381,0.06,0.399991,-0.292099,0.011386,0.001115,0
129,0.4,0.181447,0.06,0.399998,-0.292123,0.011448,-0.003092,0
130,0.4,0.176943,0.06,0.399999,-0.290509,0.006943,-0.015604,0
131,0.4,0.172955,0.06,0.4,-0.289113,0.002955,-0.012026,0
132,0.4,0.173926,0.06,0.4,-0.28945,0.003926,-0.012769,0
133,0.4,0.17652,0.06,0.4,-0.290359,0.00652,0.002466,0
134,0.4,0.175808,0.06,0.4,-0.290108,0.005808,0.004997,0
135,0.4,0.174491,0.06,0.4,-0.289647,0.004491,0.002999,0
136,0.4,0.167371,0.06,0.4,-0.287213,-0.002629,0.004964,0
137,0.4,0.167381,0.06,0.4,-0.287217,-0.002619,0.02391,0
138,0.4,0.180754,0.06,0.4,-0.291872,0.010754,0.018205,0
139,0.4,0.171423,0.06,0.4,-0.288586,0.001423,-0.000201,0
140,0.4,0.180525,0.06,0.4,-0.291789,0.010525,0.002507,0
141,0.4,0.181209,0.06,0.4,-0.292037,0.011209,-0.015942,0
142,0.4,0.185266,0.06,0.4,-0.293523,0.015266,-0.005021,0
143,0.4,0.171803,0.06,0.4,-0.288716,0.001803,-0.007728,0
144,0.4,0.173372,0.06,0.4,-0.289258,0.003372,-0.004112,0
145,0.4,0.170023,0.06,0.4,-0.288108,2.3e-05,-0.003502,0
146,0.4,0.168,0.06,0.4,-0.287424,-0.002,-0.000576,0
147,0.397044,0.180372,0.06,0.4,-0.287495,0.010372,-0.026012,0
148,0.4,0.174257,0.06,0.397783,-0.289566,0.005366,-0.013842,0
149,0.4,0.175847,0.06,0.399446,-0.290122,0.006124,-0.012024,0
150,0.4,0.160164,0.06,0.399861,-0.284852,-0.009767,-0.003935,0
151,0.4,0.176965,0.06,0.399965,-0.290516,0.006982,-0.017699,0
152,0.4,0.181794,0.06,0.399991,-0.292249,0.011798,-0.013905,0
153,0.4,0.177767,0.06,0.399998,-0.290801,0.007768,-0.018872,0
154,0.4,0.172762,0.06,0.399999,-0.289047,0.002762,0.001677,0
155,0.4,0.176595,0.06,0.4,-0.290386,0.006595,0.018329,0
156,0.4,0.184035,0.06,0.4,-0.293069,0.014036,0.015389,0
157,0.4,0.193776,0.06,0.4,-0.296749,0.023776,0.013623,0
158,0.4,0.193267,0.06,0.4,-0.296552,0.023267,0.005208,0
159,0.4,0.18682,0.06,0.4,-0.294102,0.01682,-0.003849,0
160,0.4,0.18969,0.06,0.4,-0.295182,0.01969,-0.014093,0
161,0.4,0.190042,0.06,0.4,-0.295316,0.020042,-0.010362,0
162,0.4,0.193399,0.06,0.4,-0.296603,0.023399,0.001291,0
163,0.4,0.200945,0.06,0.4,-0.299579,0.030945,0.008083,0
164,0.4,0.179085,0.06,0.4,-0.291271,0.009085,0.00418,0
165,0.4,0.166983,0.06,0.4,-0.287083,-0.003017,-0.002675,0
166,0.4,0.179978,0.06,0.4,-0.291592,0.009978,0.00477,0
167,0.4,0.171393,0.06,0.4,-0.288576,0.001393,-0.007275,0
168,0.4,0.171238,0.06,0.4,-0.288522,0.001238,-0.016531,0
169,0.4,0.165497,0.06,0.4,-0.286589,-0.004503,-0.006798,0
170,0.4,0.176091,0.06,0.4,-0.290208,0.006091,0.002009,0
171,0.4,0.155933,0.06,0.4,-0.283515,-0.014067,0.004249,0
172,0.4,0.160729,0.06,0.4,-0.285034,-0.009271,0.006688,0
173,0.4,0.17644,0.06,0.4,-0.290331,0.00644,-0.016619,0
174,0.4,0.169779,0.06,0.4,-0.288025,-0.000221,-0.004063,0
175,0.4,0.157193,0.06,0.4,-0.28391,-0.012807,0.012322,0
176,0.4,0.163982,0.06,0.4,-0.28609,-0.006018,0.015859,0
177,0.4,0.16122,0.06,0.4,-0.285192,-0.00878,0.017653,0
178,0.4,0.172402,0.06,0.4,-0.288922,0.002402,0.012921,0
179,0.4,0.173556,0.06,0.4,-0.289322,0.003556,0.010456,0
180,0.4,0.165583,0.06,0.4,-0.286618,-0.004417,0.004798,0
181,0.4,0.165688,0.06,0.4,-0.286652,-0.004312,0.006713,0
182,0.4,0.17498,0.06,0.4,-0.289818,0.00498,-0.006558,0
183,0.4,0.172486,0.06,0.4,-0.288951,0.002486,0.01088,0
184,0.4,0.165791,0.06,0.4,-0.286687,-0.004209,-0.001695,0
185,0.4,0.168672,0.06,0.4,-0.28765,-0.001328,0.007427,0
186,0.4,0.169162,0.06,0.4,-0.287816,-0.000838,0.017746,0
187,0.4,0.176268,0.06,0.4,-0.29027,0.006268,0.019066,0
188,0.4,0.17882,0.06,0.4,-0.291177,0.00882,0.034716,0
189,0.4,0.174533,0.06,0.4,-0.289662,0.004533,0.000794,0
190,0.4,0.186007,0.06,0.4,-0.293799,0.016007,-0.0041,0
191,0.4,0.182068,0.06,0.4,-0.292349,0.012068,0.010635,0
192,0.4,0.16563,0.06,0.4,-0.286633,-0.00437,-0.006135,0
193,0.4,0.15413,0.06,0.4,-0.282956,-0.01587,-0.011623,0
194,0.4,0.162408,0.06,0.4,-0.285576,-0.007592,-0.001732,0
195,0.4,0.166896,0.06,0.4,-0.287054,-0.003104,-0.015167,0
196,0.4,0.149346,0.06,0.4,-0.281504,-0.020654,-0.008556,0
197,0.4,0.151768,0.06,0.4,-0.282234,-0.018232,-0.00054,0
198,0.4,0.162853,0.06,0.4,-0.285721,-0.007147,0.001058,0
199,0.4,0.171078,0.06,0.4,-0.288468,0.001078,0.002927,0
200,0.4,0.174995,0.06,0.4,-0.289823,0.004995,-0.00529,0
