step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
77,0.4,0.155341,0.06,0.4,-0.283331,-0.014659,0.051656,1
78,0.4,0.159308,0.06,0.4,-0.284579,-0.010692,0.073673,1
79,0.4,0.163558,0.06,0.4,-0.285951,-0.006442,0.079031,1
80,0.4,0.161496,0.06,0.4,-0.285281,-0.008504,0.060569,0
81,0.4,0.156326,0.06,0.4,-0.283638,-0.013674,0.029089,0
82,0.4,0.177456,0.06,0.4,-0.290691,0.007456,0.00924,0
83,0.4,0.181927,0.06,0.4,-0.292298,0.011927,-0.003485,0
84,0.4,0.185802,0.06,0.4,-0.293722,0.015802,0.001758,0
85,0.4,0.179808,0.06,0.4,-0.291531,0.009808,0.000647,0
86,0.4,0.171627,0.06,0.4,-0.288656,0.001627,0.004849,0
87,0.4,0.167499,0.06,0.4,-0.287256,-0.002501,-0.009347,0
88,0.4,0.158026,0.06,0.4,-0.284172,-0.011974,-0.003882,0
89,0.4,0.174251,0.06,0.4,-0.289563,0.004251,-0.000729,0
90,0.4,0.172027,0.06,0.4,-0.288793,0.002027,0.002421,0
91,0.4,0.181867,0.06,0.4,-0.292275,0.011867,0.003646,0
92,0.4,0.175019,0.06,0.4,-0.289832,0.005019,0.013251,0
93,0.4,0.176943,0.06,0.4,-0.290509,0.006943,0.023308,0
94,0.4,0.176326,0.06,0.4,-0.290291,0.006326,0.00174,0
95,0.4,0.163483,0.06,0.4,-0.285927,-0.006517,0.017553,0
96,0.4,0.179228,0.06,0.4,-0.291323,0.009228,0.008737,0
97,0.4,0.173394,0.06,0.4,-0.289265,0.003394,0.019857,0
98,0.4,0.163519,0.06,0.4,-0.285939,-0.006481,0.002967,0
99,0.4,0.17061,0.06,0.4,-0.288308,0.00061,-0.002166,0
100,0.4,0.170386,0.06,0.4,-0.288231,0.000386,-0.002934,0
101,0.4,0.172971,0.06,0.4,-0.289119,0.002971,0.012314,0
102,0.4,0.172804,0.06,0.4,-0.289061,0.002804,0.013828,0
103,0.4,0.155562,0.06,0.4,-0.283399,-0.014438,0.00781,0
104,0.4,0.153147,0.06,0.4,-0.282654,-0.016853,-0.007502,0
105,0.4,0.151178,0.06,0.4,-0.282055,-0.018822,-0.007843,0
106,0.4,0.164152,0.06,0.4,-0.286146,-0.005848,-0.01797,0
107,0.4,0.166151,0.06,0.4,-0.286806,-0.003849,-0.015623,0
108,0.4,0.164685,0.06,0.4,-0.286321,-0.005315,0.000654,0
109,0.4,0.170584,0.06,0.4,-0.288299,0.000584,0.013766,0
110,0.4,0.169173,0.06,0.4,-0.287819,-0.000827,0.0013,0
111,0.4,0.16763,0.06,0.4,-0.2873,-0.00237,0.003205,0
112,0.4,0.169754,0.06,0.4,-0.288016,-0.000246,-0.008921,0
113,0.4,0.170551,0.06,0.4,-0.288288,0.000551,-0.00307,0
114,0.4,0.190526,0.06,0.4,-0.2955,0.020526,0.016926,0
115,0.4,0.177542,0.06,0.4,-0.290721,0.007542,0.007282,0
116,0.4,0.163572,0.06,0.4,-0.285956,-0.006428,-0.001538,0
117,0.4,0.168025,0.06,0.4,-0.287432,-0.001975,0.011136,0
118,0.4,0.162785,0.06,0.4,-0.285699,-0.007215,0.00014,0
119,0.4,0.147771,0.06,0.4,-0.281036,-0.022229,-0.001543,0
120,0.4,0.145941,0.06,0.4,-0.280499,-0.024059,-0.00622,0
121,0.4,0.146143,0.06,0.4,-0.280558,-0.023857,-0.004675,0
122,0.399411,0.139239,0.06,0.4,-0.277739,-0.030761,-0.017475,0
123,0.396995,0.16528,0.06,0.399558,-0.282208,-0.004499,-0.023359,0
124,0.4,0.156894,0.06,0.397636,-0.283816,-0.011924,0.004354,0
125,0.4,0.184598,0.06,0.399409,-0.293277,0.014894,-0.009104,0
126,0.4,0.177406,0.06,0.399852,-0.290673,0.00748,-0.002047,0
127,0.4,0.189047,0.06,0.399963,-0.294939,0.019065,-0.011097,0
128,0.4,0.181379,0.06,0.399991,-0.292098,0.011384,0.001115,0
129,0.4,0.181445,0.06,0.399998,-0.292122,0.011447,-0.003092,0
130,0.4,0.176942,0.06,0.399999,-0.290508,0.006942,-0.015604,0
131,0.4,0.172954,0.06,0.4,-0.289113,0.002954,-0.012026,0
132,0.4,0.173925,0.06,0.4,-0.28945,0.003925,-0.012769,0
133,0.4,0.17652,0.06,0.4,-0.290359,0.00652,0.002466,0
134,0.4,0.175807,0.06,0.4,-0.290108,0.005807,0.004997,0
135,0.4,0.17449,0.06,0.4,-0.289647,0.00449,0.002999,0
136,0.4,0.167371,0.06,0.4,-0.287213,-0.002629,0.004964,0
137,0.4,0.167381,0.06,0.4,-0.287216,-0.002619,0.02391,0
138,0.4,0.180754,0.06,0.4,-0.291872,0.010754,0.018205,0
139,0.4,0.171423,0.06,0.4,-0.288586,0.001423,-0.000201,0
140,0.4,0.180525,0.06,0.4,-0.291789,0.010525,0.002507,0
141,0.4,0.181209,0.06,0.4,-0.292037,0.011209,-0.015942,0
142,0.4,0.185266,0.06,0.4,-0.293523,0.015266,-0.005021,0
143,0.4,0.171803,0.06,0.4,-0.288716,0.001803,-0.007728,0
144,0.4,0.173372,0.06,0.4,-0.289258,0.003372,-0.004112,0
145,0.4,0.170023,0.06,0.4,-0.288108,2.3e-05,-0.003502,0
